,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,7.1629815,-5.3566613,-7.4343963,-3.3810885,-0.6727916,0.53606683,-2.898423,0.20252165,3.1514442,2.1483564,0.9142569,1.5294117,-5.221019,-3.3631697,-6.9240327,-2.6652718,2.3730054,-2.9680207,6.744061,1.854115,1.6961744,4.739933,2.8483925,-1.9821167,-12.47555,8.430367,1.2361516,-7.9055524,2.3350143,0.595416,3.9919922,1.1009246,-1.3100727,-5.5143027,1.4600526,-3.30322,0.39427596,0.52129894,4.000864,0.2324296,-1.8772819,0.48595932,-2.1262388,-3.617348,-11.27028,1.1799134,2.4280238,1.0247608,-4.5434294,1.247728,-3.170725,6.849338,3.9419723,-5.261673,1.4641286,-8.823214,-0.712438,-6.6827173,-0.36221543,-0.5600065,3.0673852,-7.14029,5.4226074,5.151263
1,-2.5128906,-3.9854295,8.139016,-4.171941,-0.29413736,-3.9719381,-2.6056912,-3.430176,-2.3471072,0.344077,-2.5494413,-0.30116004,1.8822502,0.096454196,8.588381,6.4173665,-1.7193388,0.8014784,-1.9974841,0.41402,-7.0392194,-6.893986,-5.7769585,0.84920734,8.754286,-4.4168544,-0.09652408,4.227,6.199882,-2.1897342,-5.1502275,-5.343096,-4.858017,-0.49538827,-0.42248607,3.2718523,-2.4910538,2.7130232,-4.698303,-4.294824,0.57269174,5.940157,0.19690098,5.40015,10.647175,0.9226366,-2.4833496,-1.8620231,6.8934145,-2.1491923,-4.682743,-7.1031914,-4.66949,4.830244,-1.7234392,8.30297,-0.90348643,5.396581,6.6356616,8.20365,3.7528946,3.448217,-5.812291,-4.356248
2,-8.986426,4.670373,15.8821,6.6202,0.61367625,-7.884837,1.6250361,0.24669293,-4.4621983,1.0904063,-2.2104306,-2.8736212,8.716614,-1.1819435,15.245428,-1.0631548,-4.2841253,1.4835048,-4.0084805,-4.5528674,-5.695091,-3.6896088,-5.239624,-0.6148486,18.426285,-4.4850707,-4.54832,15.159285,4.992125,-0.82300484,-5.992445,-5.0178947,-0.6656314,10.274073,-3.227029,5.3165174,3.5932987,0.033323463,-2.875854,2.4473093,0.0648218,1.0965923,10.447471,6.9855137,16.710562,0.69634664,1.9781864,0.20652473,6.1685348,1.0892706,7.4475055,-7.222527,-4.899759,8.50741,-3.9216015,17.853485,0.63156885,3.9081419,8.536358,8.763767,-2.198531,8.18506,-7.764451,-4.018668
3,-1.6593992,-2.0316794,5.975631,-5.2565746,0.99024993,-2.8973238,-1.8999159,-3.9985688,-1.993354,0.39876735,-3.1643834,0.48995766,1.9286257,1.1038888,6.564782,4.673442,-2.429764,-0.6122697,-1.5896279,0.21765265,-5.5807004,-6.580474,-6.0067205,1.4908674,6.6963706,-4.0011215,0.5572539,4.213798,4.5030446,-1.5434783,-4.817959,-4.911346,-2.496243,-1.1679844,0.46232206,3.9830859,-1.5795896,3.1313283,-2.6135285,-3.6036642,0.7313071,4.001537,-1.4304535,3.7825506,9.0917635,0.41364732,-2.76831,-3.0906358,5.574838,-2.3490674,-5.1733193,-5.340788,-4.070111,4.1850986,-2.3954327,6.839824,-1.280782,5.5999007,5.360494,6.7455816,3.097436,4.062812,-3.7909224,-4.5797625
4,-0.36916557,0.8928897,-2.3717842,-1.0668149,1.4122275,3.3236744,3.5461528,-0.50184125,-2.2200537,1.768256,0.3666767,0.2777438,-0.06024971,2.7734807,1.4012476,-2.3327317,-1.6976702,4.4701495,-2.1522079,-2.8610024,4.549125,-0.9742124,2.246951,1.8059281,-0.355287,-1.5397339,0.9075228,-0.285354,-3.0384383,0.9822296,-1.5383602,0.6520188,3.1941183,-2.3346004,2.3319082,2.8890617,1.8815942,0.39164954,0.96780795,1.923744,-1.5406313,-3.8365674,-0.9605641,0.7397801,-0.9061036,-0.24520454,-1.7438054,-1.2228878,0.8200567,3.3386276,2.0215313,3.0863729,-0.12026408,-1.3344457,-2.8344998,-0.88965976,-0.73035794,0.33948913,-1.2687954,-3.983951,-2.931785,1.041666,3.2584615,-1.7552707
5,3.8476422,6.1494675,0.3006156,12.741866,1.346963,-3.56547,5.0053053,11.955273,1.6967958,2.4548194,-0.0032608956,1.1109372,-0.009520195,-5.5845604,1.6262347,-6.7734566,-1.0098377,0.17422499,4.7286086,-3.9638925,5.902024,3.8221188,5.2721653,-3.0346777,5.7087927,6.754015,-4.4082046,8.322637,-0.96246535,1.06776,1.1588372,-0.90068924,4.578623,2.4037478,-1.5378746,-2.5989933,0.05960697,-1.9948179,0.79295784,3.4726555,-5.659605,-1.9427061,5.017454,-2.4369466,-3.183682,-4.798707,12.137555,1.4678881,-3.8883939,4.8808126,10.42256,6.144982,2.2796898,-1.4109871,-1.5598046,-2.1824813,-0.37242478,-3.8041382,-5.4871345,-2.2419853,-3.4275556,-3.6712813,3.0620074,1.9519804
6,-1.993727,-3.436986,3.6867418,-4.626351,1.4346739,-1.1817884,1.4827617,-3.4644413,-1.1742232,0.5662656,-0.57437307,1.3627493,0.2244581,1.1872609,6.2316203,5.3976173,-0.94091994,1.4736623,-1.6892487,1.023622,-3.639593,-5.517591,-4.2705927,2.6812477,4.962471,-3.9961498,2.1441717,1.5214995,2.670976,-0.4705166,-3.8761585,-3.481309,-2.6146688,-2.6705017,-0.36337155,3.2969491,-2.800431,1.8660622,-3.3558824,-3.0824091,1.2891906,4.99126,-2.5563192,3.646562,6.924727,1.573599,-1.9339583,-0.6993284,5.963499,-2.1367822,-4.947397,-4.1243587,-2.0643473,2.5608332,-0.1494452,3.9400904,0.6234718,6.026744,3.857381,4.667859,2.1580071,1.5443981,-3.2613509,-2.9003026
7,2.8611631,7.1207814,-2.2447436,10.155077,-8.427156,-1.9037025,-12.296132,3.0263467,-3.6440358,-1.7607012,-5.5473056,-9.229233,2.5881484,-6.100678,-4.1032424,-10.823539,-2.9227855,-0.6647557,3.0377314,-2.5143275,-1.9274399,6.3038363,2.309125,-9.929342,-3.1935687,1.1412852,-10.910688,1.0623581,-1.1602391,-3.4353614,0.2726045,-0.47078577,3.7175546,10.689375,4.6263757,-7.617279,4.3759794,-1.8457144,4.489338,4.542294,-7.8913903,-9.575875,10.943032,-5.204792,-4.6862407,-1.4367169,1.7531062,-4.9719133,-5.820756,1.2991505,10.98061,2.3150532,-0.63618076,-4.3364606,-4.640795,-4.0880632,-4.8929305,-12.870896,-5.1012015,-0.20426223,2.6005785,1.0514715,2.2207758,0.35141492
8,-0.27920505,-2.1043453,4.7551394,-1.5121762,-0.29940063,-1.4809784,-1.0446029,-0.008531224,-1.3665438,0.8541881,-0.3870566,-0.8810667,1.5822508,0.5522735,5.4760184,0.2587811,0.024236616,1.5063186,-0.8496693,0.31943974,-1.5684507,-2.4817803,-2.2647736,1.180274,5.7588015,-1.5997492,0.73543394,1.4991436,-0.6368802,-1.6288878,-2.628071,-3.0262778,1.4235111,-2.443604,0.51054704,0.15487097,-1.1353507,0.25108898,-2.7370427,-1.8900373,0.49092004,-0.75288075,0.8024234,3.4173136,4.4216533,-0.58430004,-0.21709312,-1.2061223,2.7619834,-2.867974,1.0421212,-4.2578444,-2.9838653,3.786244,-0.50819945,4.1942315,-0.9614038,0.9068349,2.9037127,1.2678962,2.478663,5.328076,-3.3169718,-4.0461454
9,0.6943469,-1.542619,-4.0535994,-3.1863723,2.5389986,2.6487644,4.8413224,-2.7585096,2.9729142,-0.51454806,2.2020469,3.9383655,-4.1741767,3.6797843,-1.3944191,3.332678,2.2339134,-0.352383,1.1495159,2.8399563,1.8605341,-1.3662237,0.07262808,3.7562425,-3.011633,-0.9241844,4.7266006,-5.0445056,-0.087230235,2.8879843,1.3394631,1.4044542,-1.3556579,-5.2883744,-0.6520131,1.2841753,-3.2305467,-0.054423217,0.44594234,-2.715354,2.3853922,3.014393,-6.913907,-0.45408812,-1.6441783,1.5136287,-0.56009865,2.2701151,1.4952515,-0.92266846,-4.8593335,1.1695654,2.5058248,-2.0007834,2.7074947,-3.762464,2.6309123,3.029447,-1.8721039,-2.9060183,-1.436452,-3.5584927,1.0869517,1.8719773
