,Var1,Var2,value
1825,151,151,1.0
1861,130,130,1.0
1870,18,18,1.0
1875,121,121,1.0
1903,229,229,1.0
1904,152,152,1.0
1905,111,111,1.0
1909,135,135,1.0
1918,47,47,1.0
1925,107,107,1.0
1926,11,107,1.0
1935,167,167,1.0
1941,143,143,1.0
1943,105,105,1.0
1945,100,100,1.0
1959,187,187,1.0
1983,253,253,1.0
2008,38,38,1.0
2009,37,37,1.0
2012,174,174,1.0
2036,139,139,1.0
2043,24,155,1.0
2045,51,155,1.0
2046,155,155,1.0
2048,49,155,1.0
2049,46,46,1.0
2067,160,160,1.0
2068,175,175,1.0
2069,190,190,1.0
2075,10,10,1.0
2076,200,200,1.0
2081,165,165,1.0
2082,240,240,1.0
2084,75,75,1.0
2097,14,95,1.0
2098,95,95,1.0
2107,65,65,1.0
2134,74,74,1.0
2149,138,138,1.0
2151,189,118,1.0
2153,94,118,1.0
2154,244,118,1.0
2156,118,118,1.0
2157,129,118,1.0
2169,3,3,1.0
2171,28,28,1.0
2172,230,230,1.0
2174,211,211,1.0
2175,181,181,1.0
2181,120,120,1.0
2183,140,140,1.0
2187,173,173,1.0
2208,40,40,1.0
2211,107,11,1.0
2212,11,11,1.0
2216,123,123,1.0
2222,92,92,1.0
2231,8,8,1.0
2232,57,57,1.0
2233,30,30,1.0
2234,231,231,1.0
2254,68,68,1.0
2264,88,129,1.0
2268,244,129,1.0
2269,132,129,1.0
2271,118,129,1.0
2273,129,129,1.0
2337,191,66,1.0
2341,196,66,1.0
2348,66,66,1.0
2363,225,225,1.0
2372,20,116,1.0
2373,116,116,1.0
2377,186,186,1.0
2384,146,197,1.0
2387,197,197,1.0
2390,13,13,1.0
2396,228,228,1.0
2400,64,64,1.0
2416,148,148,1.0
2418,245,245,1.0
2421,77,217,1.0
2427,217,217,1.0
2429,6,9,1.0
2431,210,9,1.0
2433,9,9,1.0
2435,84,141,1.0
2438,141,141,1.0
2449,250,250,1.0
2451,35,35,1.0
2459,226,226,1.0
2465,24,49,1.0
2467,155,49,1.0
2472,49,49,1.0
2479,134,134,1.0
2480,204,204,1.0
2482,15,15,1.0
2488,194,194,1.0
2498,238,238,1.0
