,Var1,Var2,value
2102,172,95,1.0
2109,95,95,1.0
2110,118,95,1.0
2111,230,95,1.0
2133,175,65,1.0
2134,190,65,1.0
2136,65,65,1.0
2182,151,74,1.0
2184,74,74,1.0
2212,138,138,1.0
2220,58,118,1.0
2221,172,118,1.0
2228,95,118,1.0
2229,118,118,1.0
2230,230,118,1.0
2240,3,3,1.0
2242,99,28,1.0
2243,241,28,1.0
2246,28,28,1.0
2248,58,230,1.0
2249,172,230,1.0
2256,95,230,1.0
2257,118,230,1.0
2258,230,230,1.0
2263,211,211,1.0
2264,181,181,1.0
2266,120,120,1.0
2270,140,140,1.0
2277,173,173,1.0
2290,40,40,1.0
2292,11,11,1.0
2294,123,123,1.0
2299,92,92,1.0
2304,8,8,1.0
2305,57,57,1.0
2306,30,30,1.0
2308,231,231,1.0
2322,68,68,1.0
2334,129,129,1.0
2376,66,66,1.0
2387,225,225,1.0
2390,116,116,1.0
2393,75,186,1.0
2394,186,186,1.0
2400,126,197,1.0
2401,197,197,1.0
2404,13,13,1.0
2410,228,228,1.0
2414,64,64,1.0
2427,148,148,1.0
2430,245,245,1.0
2431,217,217,1.0
2432,9,9,1.0
2434,141,141,1.0
2457,250,250,1.0
2460,35,35,1.0
2475,226,226,1.0
2476,49,49,1.0
2480,134,134,1.0
2481,204,204,1.0
2484,15,15,1.0
2490,194,194,1.0
2511,182,238,1.0
2513,238,238,1.0
